name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,f1,0.9387905604719764,23.84
2_DecisionTree,Decision Tree,f1,0.9395123766983063,22.81
3_DecisionTree,Decision Tree,f1,0.9387222946544981,22.63
4_Linear,Linear,f1,0.9367751589973813,45.65
5_Default_LightGBM,LightGBM,f1,0.9496217014209264,44.39
6_Default_Xgboost,Xgboost,f1,0.9466443576873025,45.29
7_Default_CatBoost,CatBoost,f1,0.9510979885587747,37.0
8_Default_NeuralNetwork,Neural Network,f1,0.9421395348837209,39.51
9_Default_RandomForest,Random Forest,f1,0.9495813953488372,47.74
10_Default_ExtraTrees,Extra Trees,f1,0.9443108233117483,40.23
20_LightGBM,LightGBM,f1,0.9514312096029548,37.21
11_Xgboost,Xgboost,f1,0.9469570072585147,43.64
29_CatBoost,CatBoost,f1,0.9489158397647924,73.15
38_RandomForest,Random Forest,f1,0.95139146567718,44.7
47_ExtraTrees,Extra Trees,f1,0.9490646416002964,45.22
56_NeuralNetwork,Neural Network,f1,0.9392471114424151,39.43
21_LightGBM,LightGBM,f1,0.9509225092250922,46.44
12_Xgboost,Xgboost,f1,0.945860465116279,51.51
30_CatBoost,CatBoost,f1,0.9504330200847614,59.92
39_RandomForest,Random Forest,f1,0.9495250512199664,52.08
48_ExtraTrees,Extra Trees,f1,0.9446411929170551,44.79
57_NeuralNetwork,Neural Network,f1,0.9364312267657993,40.49
22_LightGBM,LightGBM,f1,0.950221238938053,51.13
13_Xgboost,Xgboost,f1,0.9447013131126317,36.0
31_CatBoost,CatBoost,f1,0.9507107254938159,42.29
40_RandomForest,Random Forest,f1,0.9477221807318895,44.86
49_ExtraTrees,Extra Trees,f1,0.945925925925926,41.83
58_NeuralNetwork,Neural Network,f1,0.9388362149098345,43.13
23_LightGBM,LightGBM,f1,0.9501292944218692,60.58
14_Xgboost,Xgboost,f1,0.933861957109389,38.86
32_CatBoost,CatBoost,f1,0.9510748702742772,56.81
41_RandomForest,Random Forest,f1,0.9501116902457185,47.44
50_ExtraTrees,Extra Trees,f1,0.947192264782447,45.26
59_NeuralNetwork,Neural Network,f1,0.9358278765201123,40.37
24_LightGBM,LightGBM,f1,0.9515173945225758,45.62
15_Xgboost,Xgboost,f1,0.9444444444444444,39.02
33_CatBoost,CatBoost,f1,0.9501196392416712,41.22
42_RandomForest,Random Forest,f1,0.9498327759197324,46.16
51_ExtraTrees,Extra Trees,f1,0.9460856720827179,44.8
60_NeuralNetwork,Neural Network,f1,0.9387984278495228,43.93
25_LightGBM,LightGBM,f1,0.9491963790873822,73.37
16_Xgboost,Xgboost,f1,0.9451648758799556,42.79
24_LightGBM_GoldenFeatures,LightGBM,f1,0.9504071058475204,216.22
24_LightGBM_RandomFeature,LightGBM,f1,0.9499907732053885,100.35
24_LightGBM_SelectedFeatures,LightGBM,f1,0.9456762749445675,36.29
38_RandomForest_SelectedFeatures,Random Forest,f1,0.944579212539653,33.66
7_Default_CatBoost_SelectedFeatures,CatBoost,f1,0.944516129032258,28.93
61_LightGBM,LightGBM,f1,0.9515173945225758,48.89
62_LightGBM,LightGBM,f1,0.9514312096029548,43.28
63_RandomForest,Random Forest,f1,0.9522925561537035,50.63
64_CatBoost,CatBoost,f1,0.9496323529411764,43.78
65_CatBoost,CatBoost,f1,0.949778434268833,42.63
66_LightGBM,LightGBM,f1,0.9509225092250922,53.71
67_RandomForest,Random Forest,f1,0.9501488095238095,51.61
68_LightGBM,LightGBM,f1,0.9512692236427646,48.45
69_LightGBM,LightGBM,f1,0.9512692236427646,48.62
70_LightGBM,LightGBM,f1,0.9507289167743127,45.77
71_LightGBM,LightGBM,f1,0.9512375323236055,44.02
72_RandomForest,Random Forest,f1,0.9503255813953488,50.36
63_RandomForest_BoostOnErrors,Random Forest,f1,0.9514599218895295,55.39
Ensemble,Ensemble,f1,0.9524870081662955,8.02
63_RandomForest_Stacked,Random Forest,f1,0.9532640949554897,58.63
24_LightGBM_Stacked,LightGBM,f1,0.9549248747913189,58.31
7_Default_CatBoost_Stacked,CatBoost,f1,0.9537379718726868,42.65
47_ExtraTrees_Stacked,Extra Trees,f1,0.9519747821249768,49.55
11_Xgboost_Stacked,Xgboost,f1,0.9504178272980501,47.97
8_Default_NeuralNetwork_Stacked,Neural Network,f1,0.9443099273607748,43.84
38_RandomForest_Stacked,Random Forest,f1,0.9535271246065544,55.33
61_LightGBM_Stacked,LightGBM,f1,0.9549248747913189,58.79
32_CatBoost_Stacked,CatBoost,f1,0.9538119087367836,67.4
50_ExtraTrees_Stacked,Extra Trees,f1,0.9518340125972583,51.84
6_Default_Xgboost_Stacked,Xgboost,f1,0.9517266988488674,52.44
56_NeuralNetwork_Stacked,Neural Network,f1,0.9433190856718083,49.33
Ensemble_Stacked,Ensemble,f1,0.9549248747913189,10.71
