name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,f1,0.9387905604719764,8.21
2_DecisionTree,Decision Tree,f1,0.9395123766983063,8.2
3_DecisionTree,Decision Tree,f1,0.9387222946544981,8.3
4_Linear,Linear,f1,0.9367751589973813,31.38
5_Default_LightGBM,LightGBM,f1,0.9496217014209264,17.88
6_Default_Xgboost,Xgboost,f1,0.9466443576873025,28.96
7_Default_CatBoost,CatBoost,f1,0.9510979885587747,20.01
8_Default_NeuralNetwork,Neural Network,f1,0.9421395348837209,22.87
9_Default_RandomForest,Random Forest,f1,0.9495813953488372,29.85
10_Default_ExtraTrees,Extra Trees,f1,0.9443108233117483,24.52
20_LightGBM,LightGBM,f1,0.9514312096029548,65.57
11_Xgboost,Xgboost,f1,0.9469570072585147,22.96
29_CatBoost,CatBoost,f1,0.9489158397647924,55.18
38_RandomForest,Random Forest,f1,0.95139146567718,28.87
47_ExtraTrees,Extra Trees,f1,0.9490646416002964,29.43
56_NeuralNetwork,Neural Network,f1,0.9392471114424151,24.5
21_LightGBM,LightGBM,f1,0.9509225092250922,18.13
12_Xgboost,Xgboost,f1,0.945860465116279,23.78
30_CatBoost,CatBoost,f1,0.9504330200847614,41.16
39_RandomForest,Random Forest,f1,0.9495250512199664,35.94
48_ExtraTrees,Extra Trees,f1,0.9446411929170551,26.55
57_NeuralNetwork,Neural Network,f1,0.9364312267657993,26.8
22_LightGBM,LightGBM,f1,0.950221238938053,19.66
13_Xgboost,Xgboost,f1,0.9447013131126317,16.63
31_CatBoost,CatBoost,f1,0.9507107254938159,26.79
40_RandomForest,Random Forest,f1,0.9477221807318895,30.92
49_ExtraTrees,Extra Trees,f1,0.945925925925926,27.4
58_NeuralNetwork,Neural Network,f1,0.9388362149098345,34.99
23_LightGBM,LightGBM,f1,0.9501292944218692,118.54
14_Xgboost,Xgboost,f1,0.933861957109389,58.57
32_CatBoost,CatBoost,f1,0.9510748702742772,38.96
41_RandomForest,Random Forest,f1,0.9501116902457185,31.35
50_ExtraTrees,Extra Trees,f1,0.947192264782447,28.99
59_NeuralNetwork,Neural Network,f1,0.9358278765201123,30.16
24_LightGBM,LightGBM,f1,0.9515173945225758,21.5
15_Xgboost,Xgboost,f1,0.9444444444444444,45.28
33_CatBoost,CatBoost,f1,0.9501196392416712,26.63
42_RandomForest,Random Forest,f1,0.9498327759197324,31.07
51_ExtraTrees,Extra Trees,f1,0.9460856720827179,28.21
60_NeuralNetwork,Neural Network,f1,0.9387984278495228,33.16
25_LightGBM,LightGBM,f1,0.9491963790873822,52.97
16_Xgboost,Xgboost,f1,0.9451648758799556,20.13
34_CatBoost,CatBoost,f1,0.9494020239190433,22.17
43_RandomForest,Random Forest,f1,0.9494308639671579,35.93
52_ExtraTrees,Extra Trees,f1,0.9427609427609428,31.08
