name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,f1,0.9134615384615384,19.75
2_DecisionTree,Decision Tree,f1,0.917146654851573,17.16
3_DecisionTree,Decision Tree,f1,0.91906236178682,17.63
4_Linear,Linear,f1,0.9253333333333332,32.78
5_Default_LightGBM,LightGBM,f1,0.9433145824318477,26.83
6_Default_Xgboost,Xgboost,f1,0.9393139841688655,26.9
7_Default_CatBoost,CatBoost,f1,0.9489177489177489,22.13
8_Default_NeuralNetwork,Neural Network,f1,0.9287275907302142,21.1
9_Default_RandomForest,Random Forest,f1,0.9442477876106194,29.01
10_Default_ExtraTrees,Extra Trees,f1,0.934849147354613,26.1
20_LightGBM,LightGBM,f1,0.9469103568320278,22.92
11_Xgboost,Xgboost,f1,0.9401408450704225,24.66
29_CatBoost,CatBoost,f1,0.948695652173913,38.28
38_RandomForest,Random Forest,f1,0.9475065616797901,28.31
47_ExtraTrees,Extra Trees,f1,0.9451403887688985,26.19
56_NeuralNetwork,Neural Network,f1,0.9204797867614393,22.17
21_LightGBM,LightGBM,f1,0.9450261780104712,27.49
12_Xgboost,Xgboost,f1,0.9360951961216394,27.09
30_CatBoost,CatBoost,f1,0.9481932956029603,29.99
39_RandomForest,Random Forest,f1,0.9436619718309859,28.07
48_ExtraTrees,Extra Trees,f1,0.9367866549604917,27.53
57_NeuralNetwork,Neural Network,f1,0.9339130434782609,24.71
22_LightGBM,LightGBM,f1,0.9476417135439203,27.52
13_Xgboost,Xgboost,f1,0.9352209352209353,23.36
31_CatBoost,CatBoost,f1,0.94874022589053,25.83
40_RandomForest,Random Forest,f1,0.9361322018758375,28.57
49_ExtraTrees,Extra Trees,f1,0.9331574318381706,29.67
58_NeuralNetwork,Neural Network,f1,0.9223946784922393,27.39
23_LightGBM,LightGBM,f1,0.9437716262975779,33.95
14_Xgboost,Xgboost,f1,0.9051271699636657,22.37
32_CatBoost,CatBoost,f1,0.9488291413703382,28.41
